Hero Image,Details,Description,in en search,exists in en,translated,name,Excursion Link
n,n,n,y,y,n,4x4 Island Safari & Beach Swim,https://www.hollandamerica.com/de_DE/shore-excursions/1010059/4x4-island-safari-beach-swim.html
y,n,n,n,y,n,A Culinary Stroll through Boston: In Partnership with Food & Wine Magazine,https://www.hollandamerica.com/de_DE/shore-excursions/1010066/a-culinary-stroll-through-boston-in-partnership-with-food-wine-magazine.html
n,n,n,y,y,n,A Stroll through Historic Fort-de-France,https://www.hollandamerica.com/de_DE/shore-excursions/1010059/a-stroll-through-historic-fort-de-france.html
n,n,n,y,y,n,A Stroll through Old San Juan,https://www.hollandamerica.com/de_DE/shore-excursions/1010059/a-stroll-through-old-san-juan.html
y,n,n,n,y,n,A Stroll through Quebec City & Tea at the Chateau Frontenac,https://www.hollandamerica.com/de_DE/shore-excursions/1010066/a-stroll-through-quebec-city-tea-at-the-chateau-frontenac.html
y,n,n,y,y,n,A Stroll through the Old Walled City,https://www.hollandamerica.com/de_DE/shore-excursions/1010057/a-stroll-through-the-old-walled-city.html
n,n,n,y,y,n,A Tale of Two Towns,https://www.hollandamerica.com/de_DE/shore-excursions/1010059/a-tale-of-two-towns.html
n,n,n,y,y,n,A Taste of Cayman,https://www.hollandamerica.com/de_DE/shore-excursions/1010059/a-taste-of-cayman.html
n,n,n,y,y,n,A Taste of Trujillo,https://www.hollandamerica.com/de_DE/shore-excursions/1010059/a-taste-of-trujillo.html
y,n,n,n,y,n,A Walk through Old Quebec,https://www.hollandamerica.com/de_DE/shore-excursions/1010066/a-walk-through-old-quebec.html
y,n,n,n,y,n,A Walk through Old Quebec & Wine Tasting,https://www.hollandamerica.com/de_DE/shore-excursions/1010066/a-walk-through-old-quebec-wine-tasting.html
y,y,y,y,y,n,A Walk through Panama City: Old & New,https://www.hollandamerica.com/de_DE/shore-excursions/1010057/a-walk-through-panama-city-old-new.html
n,n,n,y,y,n,ATV & Beach Adventure,https://www.hollandamerica.com/de_DE/shore-excursions/1010059/atv-beach-adventure.html
n,n,n,y,y,n,ATV Jungle Adventure,https://www.hollandamerica.com/de_DE/shore-excursions/1010059/atv-jungle-adventure.html
n,n,n,y,y,n,"ATV, Jungle & Beach Adventure",https://www.hollandamerica.com/de_DE/shore-excursions/1010059/atv-jungle-beach-adventure.html
n,n,n,y,y,y,Abenteuer am Strand der Insel Jost Van Dyke,https://www.hollandamerica.com/de_DE/shore-excursions/1010059/jost-van-dyke-beach-adventure.html
n,n,n,y,y,y,Abenteuer mit Ecobike und Kajak,https://www.hollandamerica.com/de_DE/shore-excursions/1010000/eco-bike-kayak-adventure.html
n,n,n,y,y,y,Abenteuer mit kleinem Allrad-Geländewagen und Strand,https://www.hollandamerica.com/de_DE/shore-excursions/1010059/mini-4x4-adventure-beach.html
n,n,n,y,y,y,Abgelegene Orte: UNESCO-Biosphäre Las Terrazas,https://www.hollandamerica.com/de_DE/shore-excursions/1010059/off-the-beaten-path-las-terrazas-unesco-biosphere.html
y,n,n,n,y,n,Acadia National Park & Carriage Ride,https://www.hollandamerica.com/de_DE/shore-excursions/1010066/acadia-national-park-carriage-ride.html
n,n,n,n,y,y,Acadia Nationalpark,https://www.hollandamerica.com/de_DE/shore-excursions/1010056/acadia-national-park.html
