Hero Image,Details,Description,in en search,in en site,translated,name,Excursion Link
n,y,n,"Am Ende Ihrer Fahrt entlang des Panamakanals erreichen Sie Balboa, die Stadt an der pazifischen Seite des Kanals. Ihr Namensvetter ist Vasco Núñez de Balboa, der berühmte spanische...",y,y,y,Ausfahrt aus Panamakanal bei Balboa,https://www.hollandamerica.com/de_DE/ports/exit-panama-canal-balboa.html
n,y,n,"Wenn Sie an den Panamakanal denken, haben Sie vielleicht das Bild von gewaltigen Tankern und Kreuzfahrtschiffen aus aller Welt vor Augen, die eine Reihe von Schleusen passieren. Damit ist jedoch...",y,y,y,Ausfahrt aus Panamakanal bei Cristóbal,https://www.hollandamerica.com/de_DE/ports/exit-panama-canal-cristobal.html
n,y,n,"Boston, Massachusetts, ist die größte Stadt Neuenglands. Hier findet man historische Stätten und moderne Stadtviertel, altmodische Geschäfte und Restaurants sowie herrliche Grünanlagen und eine...",n,y,y,Boston,https://www.hollandamerica.com/de_DE/ports/boston-massachusetts-us.html
n,y,n,,y,y,n,"Cabo San Lucas, Mexiko",https://www.hollandamerica.com/de_DE/ports/cabo-san-lucas-mexico.html
n,y,n,Der offizielle Name Cartagenas ist „Cartagena de Indias“. Diese kolumbianische Stadt wurde im Rahmen der Kolonialisierung durch die Spanier im Jahr 1533 gegründet und nach der gleichnamigen Stadt...,y,y,y,"Cartagena, Kolumbien",https://www.hollandamerica.com/de_DE/ports/cartagena-colombia.html
n,y,n,"Charleston ist älter als die Vereinigten Staaten: an seinen Straßen stehen Gebäude, die mehrere hundert Jahre alt sind. Gehen Sie einen Schritt zurück in die Geschichte dieser sehr typischen...",y,y,y,"Charleston, South Carolina, USA",https://www.hollandamerica.com/de_DE/ports/charleston-south-carolina-us.html
n,y,n,"Colon lies on the stunning Caribbean coast of Panama, where unparalleled beaches and lush tropical scenery are de rigueur. In nearby Portobello, discover the ruins of Spanish forts, watch the...",y,y,n,"Colón, Panama",https://www.hollandamerica.com/de_DE/ports/colon-panama.html
n,y,n,"Viele Amerikaner haben Nicaragua nicht als Reiseziel auf dem Radar, obwohl in letzter Zeit das Interesse der Medien an diesem zentralamerikanischen Land gestiegen ist. Nicaragua, eine der politisch...",y,y,y,"Corinto, Nicaragua",https://www.hollandamerica.com/de_DE/ports/corinto-nicaragua.html
n,y,n,"Die Stadt Balboa befindet sich am pazifischen Ende eines der technischen Glanzleistungen der Welt, dem Panamakanal. Lange Zeit war die Stadt Verwaltungszentrum der Panamakanalzone und auch...",y,y,y,Einfahrt in Panamakanal bei Balboa,https://www.hollandamerica.com/de_DE/ports/enter-panama-canal-balboa.html
n,y,n,"Wenn Sie an den Panamakanal denken, haben Sie vielleicht das Bild von gewaltigen Tankern und Kreuzfahrtschiffen aus aller Welt vor Augen, die eine Reihe von Schleusen passieren. Damit ist jedoch...",y,y,y,Einfahrt in Panamakanal bei Cristóbal,https://www.hollandamerica.com/de_DE/ports/enter-panama-canal-cristobal.html
n,y,n,"Schimmernd blaues Wasser, wedelnde Palmen und sanfte Meeresbrisen begrüßen Sie in Fort Lauderdale in Florida, wo Sie sich irgendwo zwischen dem entspannten Lebensgefühl einer Insel und der...",y,y,y,Fort Lauderdale,https://www.hollandamerica.com/de_DE/ports/fort-lauderdale-florida-us.html
n,y,n,Das westlich von Panama-Stadt an der pazifischen Einfahrt des Panamakanals gelegene Fuerte Amador ist eine Pforte zur Erkundung dieses einzigartigen zentralamerikanischen Landes. Die technische...,y,y,y,"Fuerte Amador, Panama",https://www.hollandamerica.com/de_DE/ports/fuerte-amador-panama.html
n,y,n,"Im Zentrum eines der größten technischen Projekte der Welt ist ein Ort, an dem die Natur Platz hat und gedeihen kann – der große Gatúnsee. Der See macht etwa 33 Kilometer (20 Meilen) der...",y,y,y,"Gatúnsee, Panama",https://www.hollandamerica.com/de_DE/ports/gatun-lake-panama.html
n,y,n,"Wenn Sie sich schon immer einmal wie ein Schiffsbrüchiger fühlen wollten oder so, als ob Sie Ihre eigene Insel hätten – und wer wollte das noch nicht? –, dann können Sie auf Half Moon Cay auf den...",y,y,y,Half Moon Cay,https://www.hollandamerica.com/de_DE/ports/half-moon-cay-bahamas.html
n,y,n,"Huatulco an der mexikanischen Pazifikküste im Staat Oaxaca hat 9 Buchten und 36 Strände und bietet mehr als genug Möglichkeiten, Spaß in der zu Sonne haben. Der beliebteste Strand ist La Entrega...",y,y,y,"Huatulco, Mexiko",https://www.hollandamerica.com/de_DE/ports/huatulco-mexico.html
n,y,n,"Eines der ersten Dinge, die Sie in Key West bemerken werden, ist – nach den farbenfrohen Holzhäusern und den herrlichen Sonnenuntergängen – das ständige Krähen von Hähnen. Man sieht Hunderte der...",y,y,y,Key West,https://www.hollandamerica.com/de_DE/ports/key-west-florida-us.html
n,y,n,"Gleich bei der Ankunft im Hafen von Kralendijk werden Sie feststellen, dass es sich um einen der entspanntesten Landausflüge überhaupt handelt. Auch wenn es ein paar farbenfrohe Straßen zum...",y,y,y,"Kralendijk, Bonaire",https://www.hollandamerica.com/de_DE/ports/kralendijk-bonaire.html
n,y,n,"Der Bau des Panamakanals ist eine jener epischen Geschichten aus der alten Zeit, die von Ingenieurskunst, Ehrgeiz und Mut erzählt. Über zehn Jahre bohrten zehntausende Arbeiter Löcher für Dynamit,...",y,y,y,Kreuzfahrt auf dem Gatunsee und Panamakanal,https://www.hollandamerica.com/de_DE/ports/cruising-gatun-lake-and-panama-canal.html
