Hero Image,imgsrc,Details,Description,desctext,longtext,Name,Excursion Link
n,https://afar-production.imgix.net/uploads/images/post_images/images/3CCCqbPsQt/original_db8b1538b50de4ec7a66deedff486914.jpg?w=750&h=563&fit=crop,y,n,"Located on the Dominican Republic's north coast, the port of Amber Cove, near Puerto Plata, is a new phenomenon. Built in 2015, the area was fashioned as an homage to the country’s...

","Located on the Dominican Republic's north coast, the port of Amber Cove, near Puerto Plata, is a new phenomenon. Built in 2015, the area was fashioned as an homage to the country’s colonial architecture and features restaurants, bars and shops, as well as an activity center, a pool and cabanas. But it’s the neighboring region, known as the Amber Coast for its plethora of the semiprecious stone, that’s this port’s true draw. Along with golden-sand beaches and dramatic cliffs, there's the city of Puerto Plata, one of the Caribbean’s oldest, founded in the early 1500s. Another nearby option is Santiago de los Caballeros, known locally as simply Santiago, about an hour's drive from the port. The second-largest city in the Dominican Republic, it is home to excellent museums, historic buildings and cigar and rum makers.","Amber Cove, Dominican Republic",https://www.hollandamerica.com/en_US/ports/amber-cove-dominican-republic.html
n,https://afar-production.imgix.net/uploads/syndication/holland_americas/images/kLuF3GBC75/original_DES-2374464crop.jpg?w=750&h=563&fit=crop,y,n,"Scenic Astoria, Oregon, is awash in history and raffish port town charm. For a city of just 10,000 people, there’s much to do. Climb its famous column to see a vast panorama of water and...

","Scenic Astoria, Oregon, is awash in history and raffish port town charm. For a city of just 10,000 people, there’s much to do. Climb its famous column to see a vast panorama of water and woods. Pub-crawl the waterfront Riverwalk with the help, in season, of an old-fashioned trolley. Feast on fresh seafood. Explore a state-of-the-art maritime museum, a low-tech cannery museum or a river pilot’s Gilded Age mansion. Or take a short trek to Fort Clatsop, named for the local tribe, where Lewis and Clark hunkered down in the cold, rainy winter of 1805.Six years later, John Jacob Astor’s Pacific Fur Company started the first permanent U.S. settlement on the west coast. Located at the mouth of the Columbia River, Astoria became a vibrant port with a strong economy based on shipping, fishing and timber. In the 1980s both the Bumble Bee Seafood canneries and the Astoria Plywood Mill closed and the era of tourism began. Starting with The Goonies, the town also became a popular movie set—scenes in Kindergarten Cop, Free Willy, Short Circuit, The Ring Two, Into the Wild and The Guardian were all shot in the charming, steep-hilled town.Today Astoria’s fine restaurants, brewpubs, trendy hotels and quirky shops—along with its impressive views and nearby Pacific beaches—make it a great place for a relaxed visit.","Astoria, Oregon, US",https://www.hollandamerica.com/en_US/ports/astoria-oregon-us.html
n,https://afar-production.imgix.net/uploads/syndication/holland_americas/images/dBAZZYtbru/original_C_hero_SSB-99-10670_b.JPG?w=750&h=563&fit=crop,y,n,"Los Cabos doesn't exude the same kind of charm as many other areas of inland Mexico do, but its twin towns—San José del Cabo and Cabo San Lucas—don't seem to mind, and neither do visitors, who are...

","Los Cabos doesn't exude the same kind of charm as many other areas of inland Mexico do, but its twin towns—San José del Cabo and Cabo San Lucas—don't seem to mind, and neither do visitors, who are drawn here less for traditional Mexican culture than for the sun, the sand and the opportunity to just slow down and relax. Los Cabos—or the Capes—sits at the southernmost tip of the Baja California Peninsula, a narrow strip of land whose varied geography, both above and underwater, makes for plenty of interesting activities and some unusual ones, too. Did you ever think you'd ride a camel in Mexico? You can do that here, or enjoy more predictable pursuits including fishing, golfing and whale-watching. Want something still more laid-back? Visit picture-perfect El Arco, an arch that may look familiar thanks to its cameo on postcards and tourism advertisements. North of the capes, you can drop by the famed Hotel California. And if you've worked up an appetite, you won't be disappointed: Los Cabos offers plenty to enjoy at the table as well, with farm-fresh fruits and vegetables and, of course, seafood being the mainstays here.","Cabo San Lucas, Mexico",https://www.hollandamerica.com/en_US/ports/cabo-san-lucas-mexico.html
n,https://afar-production.imgix.net/uploads/syndication/holland_americas/images/7uuSTsm77c/original_CLU-CAM-00049652CROP.jpg?w=750&h=563&fit=crop,y,n,"Its official name is Cartagena de Indias—or ""Cartagena of the Indies""—but call it Cartagena for short. The formal name hints at this Colombian city's colonial relationship with Spain;...

","Its official name is Cartagena de Indias—or ""Cartagena of the Indies""—but call it Cartagena for short. The formal name hints at this Colombian city's colonial relationship with Spain; it was founded in 1533 and named after the mother country's Cartagena. Colombia declared independence in 1810, but there's plenty about its fifth-largest city that evokes old Spain, including the impressive fort of Castillo San Felipe de Barajas, and the wall that encloses the old town, one of the few intact structures of its kind in the Americas. Both were considered important enough to inscribe on UNESCO's list of World Heritage Sites in 1984. They may be historical artifacts, but the fortress and wall aren't merely tourist attractions; they are central to daily life here. Take a stroll and you'll see couples sitting atop the wall, locked in passionate embraces; parents watching their children walk it like a balance beam; and friends chatting while enjoying the Caribbean breeze. Along with history, there's cultural and culinary intrigue here, too. This colorful city was a muse of the late Nobel Prize–winning writer Gabriel García Márquez, and is increasingly being recognized outside Colombia for its cuisine, which takes many cues from Caribbean ingredients. (Don't leave without trying the coconut rice.)","Cartagena, Colombia",https://www.hollandamerica.com/en_US/ports/cartagena-colombia.html
n,https://afar-production.imgix.net/uploads/syndication/holland_americas/images/amPZlGDFtp/original_YR6-1403327.jpg?w=750&h=563&fit=crop,y,n,"Older than the United States, Charleston has streets lined with buildings that date back hundreds of years. Step back in time in this very Southern port city, which boasts cobblestoned lanes,...

","Older than the United States, Charleston has streets lined with buildings that date back hundreds of years. Step back in time in this very Southern port city, which boasts cobblestoned lanes, antebellum mansions, historic churches, one of the oldest public markets in the country and formal gardens. Many of its homes are open to the public, such as the Heyward-Washington House, whose original owner signed the Declaration of Independence. Take the ferry to Fort Sumter and you’ll learn about another of Charleston’s claims to fame, as the place where the first battle of the Civil War was fought.Outside the city, many of Charleston’s plantations have been restored and visitors can explore the homes and slave quarters, gardens and acres of land. Fans of the film The Notebook will recognize Boone Hall Plantation; Magnolia Plantation & Gardens lays claim to the oldest public gardens in the country.Shop along legendary King Street or in the Charleston City Market for unique local gifts. Dine on fresh seafood and Lowcountry cuisine at some of the many restaurants that have impressed critics. Wherever you go in Charleston, you’ll experience the city’s famous Southern hospitality and the leisurely pace of life, which serves as a valuable reminder to slow down and enjoy the day.","Charleston, South Carolina, US",https://www.hollandamerica.com/en_US/ports/charleston-south-carolina-us.html
n,https://www.hollandamerica.com/content/dam/hal/marketing-assets/Ports/SAmerica/colon-panama-c037.jpg.image.750.563.low.jpg,y,n,"Colon lies on the stunning Caribbean coast of Panama, where unparalleled beaches and lush tropical scenery are de rigueur. In nearby Portobello, discover the ruins of Spanish forts, watch the...

","Colon lies on the stunning Caribbean coast of Panama, where unparalleled beaches and lush tropical scenery are de rigueur. In nearby Portobello, discover the ruins of Spanish forts, watch the colorful yachts sailing in the bay or hunt for treasures in the local markets. Travel to the Gatun Locks for a bird's eye view of the immense ships passing through the Panama Canal.  ","Colon, Panama",https://www.hollandamerica.com/en_US/ports/colon-panama.html
n,https://afar-production.imgix.net/uploads/syndication/holland_americas/images/jblvpJaFb5/original_JAI-NI01029_copy.jpg?w=750&h=563&fit=crop,y,n,"As a travel destination, Nicaragua still remains below the radar for many Americans, despite a recent surge of media interest in this Central American country. One of the region’s most...

","As a travel destination, Nicaragua still remains below the radar for many Americans, despite a recent surge of media interest in this Central American country. One of the region’s most politically and socially stable nations, Nicaragua has been billed as the next great spot for eco-, cultural and culinary tourism. Adventurous guests keen to experience its charms are rewarded richly for their efforts. The country’s most visited cities are Managua (the capital), Granada and León; the latter sits near the Pacific Coast. Corinto is the nearest port town, just northwest of León and along the route to the Panama Canal Zone. It offers many of the charms of the larger cities, including their colonial-era architecture, as well as a number of cultural and ecological attractions in surrounding areas. Given the port's proximity to León, it’s easy for cruise passengers to take a day trip to this beautiful city established by Spanish conquistadores in 1524. While there, be sure to sample the traditional dish called vigorón, a hearty plate heaped with pork, boiled yuca and cabbage salad. Though residents of Granada claim to have invented it, vigorón is popular around the entire country and is a true taste of Nicaragua.","Corinto, Nicaragua",https://www.hollandamerica.com/en_US/ports/corinto-nicaragua.html
n,https://afar-production.imgix.net/uploads/syndication/holland_americas/images/GeZxGbQdQY/original_U22-1701969-1.jpg?w=750&h=563&fit=crop,y,n,"The construction of the Panama Canal is one of those epic tales from the past, an old-school feat of engineering, ambition and courage. Over the span of a decade a little more than a century ago,...

","The construction of the Panama Canal is one of those epic tales from the past, an old-school feat of engineering, ambition and courage. Over the span of a decade a little more than a century ago, tens of thousands of workers drilled dynamite holes, drove belching steam shovels and labored with pickaxes, all the while fighting off malaria. As David McCullough recounts in his sweeping history The Path Between the Seas, it was a combination of sheer human might and what was at the time the latest engineering prowess that created a route connecting two oceans.What may come as a surprise to those who have never traveled across the Panama Canal is that only portions of it, at each end, are the narrow channels and locks that are so often photographed. At its heart is the huge manmade Gatún Lake. There, in the middle of one of humankind's greatest engineering achievements, more than 100 species each of mammals and reptiles, as well as some 500 different birds (from colorful toucans to fierce harpy eagles), thrive in the nature reserves on islands in the middle of the lake and along its edges. ",Cruising Gatun Lake and Panama Canal,https://www.hollandamerica.com/en_US/ports/cruising-gatun-lake-and-panama-canal.html
n,https://afar-production.imgix.net/uploads/syndication/holland_americas/images/lCK9gRP8oK/original_C_hero_RM_C46-1741958.jpg?w=750&h=563&fit=crop,y,n,"The construction of the Panama Canal is one of those epic tales from the past, an old-school feat of engineering, ambition and courage. A cruise along it today is a journey through the centuries,...

","The construction of the Panama Canal is one of those epic tales from the past, an old-school feat of engineering, ambition and courage. A cruise along it today is a journey through the centuries, from the Spanish fortifications near Limón Bay to the glittering skyline of Panama City, not to mention the canal itself. Over the course of a decade a little more than a century ago, tens of thousands of workers drilled dynamite holes, drove belching steam shovels and labored with pickaxes, all the while fighting off malaria. While the French builders of the Suez Canal ultimately gave up in Panama, American crews persevered and created a route allowing ships to travel across a continent. As David McCullough recounts in his sweeping history The Path Between the Seas, it was a combination of sheer human might and engineering prowess. In 2016 an expansion more than doubled the canal's capacity, ensuring it will continue to be central to the world's maritime traffic.While many think of the Panama Canal only as a remarkable manmade achievement, the area is also of interest to naturalists. Panama’s rain forest suffered great biodiversity loss during the canal's construction, but today more than 100 species each of mammals and reptiles, as well as some 500 different birds, thrive in the nature reserves along the length of the canal.",Cruising Panama Canal,https://www.hollandamerica.com/en_US/ports/cruising-panama-canal.html
n,https://afar-production.imgix.net/uploads/syndication/holland_americas/images/FKH7Ee8xMA/original_jpg133-1.jpg?w=750&h=563&fit=crop,y,n,"The town of Balboa stands at the Pacific end of one of the world's great engineering wonders, the Panama Canal. Long the administrative center of the Canal Zone, it was U.S. territory until the...

","The town of Balboa stands at the Pacific end of one of the world's great engineering wonders, the Panama Canal. Long the administrative center of the Canal Zone, it was U.S. territory until the last day of the last century, when it was returned to Panama on December 31, 1999. The 77-kilometer (48-mile) route that begins here and ends at the Caribbean unfolds like an epic tale.Over the span of a decade, tens of thousands of workers drilled dynamite holes, drove belching steam shovels and labored with pickaxes, all the while fighting off malaria. While the French builders of the Suez Canal ultimately gave up in Panama, American crews persevered as they hauled away mountains and created a route across the continent. As David McCullough recounts in The Path Between the Seas, it was a combination of sheer human might and what was at the time the latest engineering prowess that made this feat possible. It has since saved many sailors from the almost 13,000-kilometer (8,000-mile) journey around the tip of South America. In 2016 an expansion more than doubled the Panama Canal's capacity, ensuring that it will continue to be central to the world's maritime traffic.",Enter Panama Canal Balboa,https://www.hollandamerica.com/en_US/ports/enter-panama-canal-balboa.html
n,https://afar-production.imgix.net/uploads/syndication/holland_americas/images/USKnUMecVk/original_Y2B-1449156-1.jpg?w=750&h=563&fit=crop,y,n,"Think of the Panama Canal, and the image that may come to mind is of the world’s huge tankers and cruise ships passing through a series of locks. That, however, reflects only one aspect of this...

","Think of the Panama Canal, and the image that may come to mind is of the world’s huge tankers and cruise ships passing through a series of locks. That, however, reflects only one aspect of this part of the world. As ships travel from the Atlantic to the Pacific, they also pass colonial towns, historic fortresses and manmade lakes that are today home to sanctuaries for hundreds of different animal and plant species. At the Atlantic entrance to the Panama Canal, Colón evokes the old Panama of yesteryear, with its historic buildings gradually being restored. Some 77 kilometers (48 miles) to the south, at the canal’s Pacific entrance, Panama City's glittering skyline of office towers and condominiums reflects the country’s dynamic present and future. Traveling between these two cities, an epic tale unfolds before you—an old-school feat of engineering, ambition and courage. As David McCullough recounts in his sweeping history The Path Between the Seas, it was a combination of sheer human might and engineering prowess that today allows ships to cross the Panama isthmus, saving sailors from making the dangerous, almost 13,000-kilometer (8,000-mile) journey around the tip of South America. ",Enter Panama Canal Cristobal,https://www.hollandamerica.com/en_US/ports/enter-panama-canal-cristobal.html
n,https://afar-production.imgix.net/uploads/syndication/holland_americas/images/Byl1yDhsga/original_20140917_0239-1.jpg?w=750&h=563&fit=crop,y,n,"At the end of your journey along the Panama Canal, you’ll reach Balboa, the town that sits at the Pacific entrance of the canal. Its namesake is Vasco Núñez de Balboa, the famed...

","At the end of your journey along the Panama Canal, you’ll reach Balboa, the town that sits at the Pacific entrance of the canal. Its namesake is Vasco Núñez de Balboa, the famed Spanish explorer who was the first European to see the Pacific from the New World. Balboa’s journey was historic, a legendary feat of the age of exploration. The construction of the canal that crosses the isthmus today was also a historic achievement, to this day the largest civil engineering project ever. Over the course of a decade at the beginning of the 20th century, a combination of sheer human might and engineering prowess was responsible for the construction of the canal. A journey from Colón, at the Caribbean end of the canal, to Balboa, at its Pacific end, allows you to marvel at this world wonder, as well as see colonial towns, historic fortresses and sanctuaries for Panama’s wildlife along the way. Measured by miles, the journey along the canal is relatively short, but it is one with an epic sweep. You will follow in the footsteps of giants from Balboa to the workers who built the canal.",Exit Panama Canal Balboa,https://www.hollandamerica.com/en_US/ports/exit-panama-canal-balboa.html
