Hero Image,Details,Description,in en search,in en site,translated,name,Excursion Link
n,y,n,"La ciudad más grande de Nueva Inglaterra, Boston, Massachusetts, es el hogar de atracciones históricas y modernos barrios; tiendas y restaurantes con carácter antiguo y lujosos espacios verdes así...",n,y,y,Boston,https://www.hollandamerica.com/es_ES/ports/boston-massachusetts-us.html
n,y,n,,y,y,n,"Cabo San Lucas, México",https://www.hollandamerica.com/es_ES/ports/cabo-san-lucas-mexico.html
n,y,n,"La construcción del canal de Panamá es una de esas historias del pasado en las que la ingeniería tradicional, la ambición y el valor lo hicieron posible. Atravesarlo a bordo de un crucero es navegar...",y,y,n,Canal de Panamá (Crucero),https://www.hollandamerica.com/es_ES/ports/cruising-panama-canal.html
n,y,n,"Su nombre oficial es Cartagena de Indias pero se le puede llamar Cartagena que es más breve. El nombre oficial sugiere la relación colonial de esta ciudad colombiana con España, fue fundada en 1533...",y,y,y,"Cartagena, Colombia",https://www.hollandamerica.com/es_ES/ports/cartagena-colombia.html
n,y,n,"Una de las primeras cosas que notará de Cayo Hueso, además de las coloridas casas de madera y los atardeceres espectaculares, es el cacareo constante de los gallos. Cientos de ruidosas aves, junto...",y,y,y,Cayo Hueso,https://www.hollandamerica.com/es_ES/ports/key-west-florida-us.html
n,y,n,"Si alguna vez ha soñado con la experiencia de un náufrago o de tener su propia isla privada (¿y quién no lo ha hecho, al menos una vez?), Cayo Media Luna (Half Moon Cay) en Las Bahamas le ofrece la...",y,y,y,Cayo Media Luna (Half Moon Cay),https://www.hollandamerica.com/es_ES/ports/half-moon-cay-bahamas.html
n,y,n,"Más antigua que los Estados Unidos, Charleston tiene calles flanqueadas por edificios con cientos de años de antigüedad. Viaje en el tiempo durante su estadía en esta ciudad portuaria muy sureña....",y,y,y,"Charleston, Carolina del Sur, EE. UU.",https://www.hollandamerica.com/es_ES/ports/charleston-south-carolina-us.html
n,y,n,"Colon lies on the stunning Caribbean coast of Panama, where unparalleled beaches and lush tropical scenery are de rigueur. In nearby Portobello, discover the ruins of Spanish forts, watch the...",y,y,n,"Colón, Panamá",https://www.hollandamerica.com/es_ES/ports/colon-panama.html
n,y,n,"Como destino de viaje, Nicaragua todavía pasa desapercibida para muchos estadounidenses, aún a pesar del reciente incremento en el interés de los medios por este país de América Central. Una de las...",y,y,y,"Corinto, Nicaragua",https://www.hollandamerica.com/es_ES/ports/corinto-nicaragua.html
n,y,n,"La construcción del canal de Panamá es una de esas historias del pasado en las que la ingeniería tradicional, la ambición y el valor lo hicieron posible. En el transcurso de una década, hace ya más...",y,y,y,Crucero por el lago Gatún y el Canal de Panamá,https://www.hollandamerica.com/es_ES/ports/cruising-gatun-lake-and-panama-canal.html
n,y,n,"Aguas azules resplandecientes, palmeras que se mecen y brisas oceánicas lo recibirán en Fort Lauderdale, donde se encontrará en un lugar entre el relax de la isla y el ritmo acelerado de una...",y,y,y,Fort Lauderdale,https://www.hollandamerica.com/es_ES/ports/fort-lauderdale-florida-us.html
n,y,n,"Ubicado al oeste de la ciudad de Panamá en la entrada desde el Pacífico al Canal de Panamá, Fuerte Amador es un portal hacia la exploración de las distintas facetas de este país único de América...",y,y,y,"Fuerte Amador, Panamá",https://www.hollandamerica.com/es_ES/ports/fuerte-amador-panama.html
n,y,n,"Huatulco, ubicado en la costa del Pacífico de México en el estado de Oaxaca, consta de nueve bahías y 36 playas, y ofrece amplias oportunidades para divertirse bajo el sol. La playa más conocida es...",y,y,y,"Huatulco, México",https://www.hollandamerica.com/es_ES/ports/huatulco-mexico.html
n,y,n,"La ciudad de Balboa se encuentra en el extremo pacífico de una de las grandes maravillas de la ingeniería del mundo: el Canal de Panamá. Este territorio, que durante mucho tiempo fue el centro...",y,y,y,"Ingreso al Canal de Panamá, Balboa",https://www.hollandamerica.com/es_ES/ports/enter-panama-canal-balboa.html
n,y,n,"Si piensa en el Canal de Panamá, probablemente la imagen que le venga a la cabeza es la de los barcos petroleros y cruceros más grandes del mundo navegando a través de una serie de esclusas. Sin...",y,y,y,"Ingreso al Canal de Panamá, Cristobal",https://www.hollandamerica.com/es_ES/ports/enter-panama-canal-cristobal.html
n,y,n,"Apenas llegue al puerto de Kralendijk, se dará cuenta de que es uno de los lugares más relajados que hay. Aunque cerca hay algunas calles coloridas donde pasear, vestigios (en su mayoría) de la...",y,y,y,"Kralendijk, Bonaire",https://www.hollandamerica.com/es_ES/ports/kralendijk-bonaire.html
n,y,n,En el centro de uno de los proyectos de ingeniería más grandes del mundo se encuentra un lugar donde se ha dado a la naturaleza un espacio para florecer: el amplio Lago Gatún. El lago está...,y,y,y,"Lago Gatún, Panamá",https://www.hollandamerica.com/es_ES/ports/gatun-lake-panama.html
n,y,n,"Sobre las colinas se encuentra el cartel de Hollywood que promociona a esta ciudad como la capital del entretenimiento del mundo. Recorra la glamorosa Rodeo Drive en Beverly Hills, trasládese en...",y,y,y,"Los Ángeles, California, EE. UU.",https://www.hollandamerica.com/es_ES/ports/los-angeles-california-us.html
n,y,n,"Tan solo una mirada al escudo de Manzanillo le dirá más de lo que necesita saber sobre una de las ciudades portuarias más importantes de México. Dividido en cuatro cuadrantes, el escudo tiene una...",y,y,y,"Manzanillo, México",https://www.hollandamerica.com/es_ES/ports/manzanillo-mexico.html
n,y,n,"Ubicada cerca de la costa de Venezuela, la ventosa isla holandesa de Aruba es mística. Aquí, las playas son espectacularmente prístinas, las aguas son románticamente agitadas, el interior de la...",y,y,y,"Oranjestad, Aruba",https://www.hollandamerica.com/es_ES/ports/oranjestad-aruba.html
