Hero Image,Details,Description,in en,translated,name,Excursion Link
n,y,y,y,n,A Culinary Stroll Through Boston: In Partnership With Food & Wine Magazine,https://www.hollandamerica.com/nl_NL/shore-excursions/1010066/a-culinary-stroll-through-boston-in-partnership-with-food-wine-magazine.html
n,y,y,y,n,A Walk Through Colonial Newport,https://www.hollandamerica.com/nl_NL/shore-excursions/1010067/a-walk-through-colonial-newport.html
y,y,y,n,n,ATV & Beach Adventure,https://www.hollandamerica.com/nl_NL/shore-excursions/1010059/atv-beach-adventure.html
y,y,y,n,n,"ATV, Jungle & Beach Adventure",https://www.hollandamerica.com/nl_NL/shore-excursions/1010059/atv-jungle-beach-adventure.html
n,y,y,n,y,Aan Tafel Met Vikingen,https://www.hollandamerica.com/nl_NL/shore-excursions/1010066/dine-with-the-vikings.html
n,y,y,y,n,Acadia National Park & Carriage Ride,https://www.hollandamerica.com/nl_NL/shore-excursions/1010066/acadia-national-park-carriage-ride.html
y,y,y,y,y,Acadia National Park (Toegankelijk Voor Rolstoelen),https://www.hollandamerica.com/nl_NL/shore-excursions/1010056/acadia-national-park-wheelchair-accessible.html
n,n,n,y,n,"Over ons

",https://www.hollandamerica.com/nl_NL/shore-excursions/1010063/acadia-by-sea-and-schoodic-peninsula.html
n,y,y,n,y,Akureyri En Santa's House Cadeauwinkel,https://www.hollandamerica.com/nl_NL/shore-excursions/1010061/akureyri-santa-s-house-giftshop.html
n,y,y,n,y,"Akureyri, Watervallen En Boerenland",https://www.hollandamerica.com/nl_NL/shore-excursions/1010061/akureyri-falls-farmland.html
y,y,y,n,y,All-Inclusive Excursie Naar Het Oerwoud En Strand,https://www.hollandamerica.com/nl_NL/shore-excursions/1010059/all-inclusive-jungle-beach-break.html
n,y,y,y,y,Alligators En Moerasboten,https://www.hollandamerica.com/nl_NL/shore-excursions/1010060/alligators-airboats.html
n,y,y,n,n,Amazing Secret River,https://www.hollandamerica.com/nl_NL/shore-excursions/1010059/amazing-secret-river.html
y,y,y,y,y,Amerikaanse Presidenten - Kennedy En Adams,https://www.hollandamerica.com/nl_NL/shore-excursions/1010056/american-presidents-kennedy-adams.html
n,y,y,y,y,Anne & Gilbert: De Musical,https://www.hollandamerica.com/nl_NL/shore-excursions/1010056/anne-gilbert-the-musical.html
y,y,y,n,n,Atlantis Submarine Expedition,https://www.hollandamerica.com/nl_NL/shore-excursions/1010059/atlantis-submarine-expedition.html
n,y,y,n,y,Avontuur In Akureyri: Poolvlucht Naar Grimsey,https://www.hollandamerica.com/nl_NL/shore-excursions/1010061/akureyri-adventure-polar-flight-to-grimsey.html
y,y,y,n,y,Avontuurlijke Bestemming: Las Terrazas Biosfeerreservaat Van UNESCO,https://www.hollandamerica.com/nl_NL/shore-excursions/1010059/off-the-beaten-path-las-terrazas-unesco-biosphere.html
n,y,y,y,y,"Baaien Van Fundy, Grand Pré En Wijngaard: In Samenwerking Met Food & Wine Magazine",https://www.hollandamerica.com/nl_NL/shore-excursions/1010056/bays-of-fundy-grand-pre-winery-in-partnership-with-food-wine-magazine.html
y,y,y,y,y,Baddeck En Het Alexander Graham Bell Museum,https://www.hollandamerica.com/nl_NL/shore-excursions/1010056/baddeck-the-alexander-graham-bell-museum.html
n,y,y,y,n,Baddeck On Your Own,https://www.hollandamerica.com/nl_NL/shore-excursions/1010066/baddeck-on-your-own.html
n,y,y,n,y,Baden In De Blue Lagoon,https://www.hollandamerica.com/nl_NL/shore-excursions/1010061/bathing-in-the-blue-lagoon.html
